BUSCI_id	GRC_1	GRC_2	Core_genome	GRC_1_len	GRC_2_len	Core_len
104914at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.2987344841	0.4765479134	0.1294766023
105249at50557	cecidomyiidae	cecidomyiidae	sciaridae	1e-06	1e-06	0.0229330659
107205at50557	other	cecidomyiidae	other	0.0099651353	0.0069450046	9.864e-07
110270at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.2189982665	0.4814399942	0.0212799617
110550at50557	sciaridae	sciaridae	sciaridae	0.0720203926	0.1056978968	0.0465704375
110603at50557	cecidomyiidae	sciaridae	sciaridae	0.3521620163	0.0468100172	0.0693599439
112578at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0276287596	0.0264002925	9.909e-07
112955at50557	cecidomyiidae	sciaridae	sciaridae	0.0709093383	0.0345492409	0.0160621377
114148at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0243834689	0.0196437661	0.0061433681
114297at50557	sciaridae	cecidomyiidae	sciaridae	0.2078712845	0.3526808545	0.0653466159
115608at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1120192337	0.0706801771	1e-06
116675at50557	sciaridae	cecidomyiidae	sciaridae	0.0200252065	0.2039072848	2.2369e-06
117917at50557	sciaridae	cecidomyiidae	sciaridae	0.0528706908	0.1427528918	0.1317362041
118222at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1326828143	0.0625680801	0.0801807409
12010at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1254677626	0.0881832058	0.0351843984
120896at50557	cecidomyiidae	sciaridae	sciaridae	0.2237501002	0.0374902326	0.0189958231
121327at50557	cecidomyiidae	other	other	0.0233923492	2.1611e-06	1e-06
122309at50557	sciaridae	cecidomyiidae	sciaridae	0.1091123465	0.145987052	0.0551605741
125046at50557	sciaridae	cecidomyiidae	sciaridae	0.0156540353	0.0606352882	0.0156081919
125260at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0835970598	0.4705767703	0.0088390164
125726at50557	sciaridae	sciaridae	sciaridae	0.1902807728	0.1307285076	0.0482608237
127380at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0382935013	0.0477388987	0.1968425966
135926at50557	sciaridae	cecidomyiidae	sciaridae	0.1441035262	0.0394734423	0.0128043099
136147at50557	sciaridae	cecidomyiidae	sciaridae	0.087860855	0.0667955358	0.1682669971
139238at50557	sciaridae	cecidomyiidae	sciaridae	1.0319e-06	0.0526009386	0.0152428418
139459at50557	cecidomyiidae	cecidomyiidae	other	0.0351942457	0.031629894	0.0077503815
141030at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0436681851	0.1117373807	0.0138997632
145007at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1608693061	0.1998158198	0.1614122809
16714at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1033529657	0.1406650757	0.0347379186
18561at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0491605887	0.0821998277	0.0068275605
19244at50557	sciaridae	cecidomyiidae	sciaridae	0.3890401777	0.3142345134	0.0715748846
2187at50557	sciaridae	cecidomyiidae	sciaridae	0.0830135739	0.0719299067	0.0107882887
24606at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1649348385	0.1454386291	0.0812580184
29312at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.2608574061	0.3043591593	0.0240951919
30211at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.272589096	0.158269135	0.0374795172
30467at50557	sciaridae	cecidomyiidae	sciaridae	0.0261446005	0.0336005905	0.0089514276
31645at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0547249262	0.0638182201	0.0295813244
33043at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.3053063055	0.0973338225	0.0331305786
37156at50557	sciaridae	cecidomyiidae	sciaridae	0.0327905249	0.0754609112	0.0383223308
39392at50557	cecidomyiidae	sciaridae	sciaridae	0.0915151224	0.1205102022	0.0255847433
45670at50557	sciaridae	cecidomyiidae	sciaridae	0.036245008	0.3138260447	0.0365441604
46367at50557	sciaridae	cecidomyiidae	sciaridae	0.0195633901	0.1705196897	0.0053557245
46514at50557	sciaridae	cecidomyiidae	sciaridae	0.0059119468	0.0469158972	9.989e-07
47233at50557	sciaridae	cecidomyiidae	sciaridae	0.0098058948	0.3317520625	1.1183e-06
50572at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.2707881024	0.5307718769	0.1398368841
50853at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0642162118	0.0801031012	0.0214273972
52688at50557	sciaridae	cecidomyiidae	sciaridae	0.0783965554	0.3083907857	0.4093736042
53388at50557	cecidomyiidae	sciaridae	sciaridae	0.061086728	0.0132391997	0.0205558107
53583at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.2235609638	0.1395336814	1.0686e-06
56943at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.1305477412	0.126866024	0.061346872
57153at50557	other	cecidomyiidae	sciaridae	0.4861330458	0.2480879645	0.0131312045
58363at50557	sciaridae	cecidomyiidae	sciaridae	0.1981743026	0.3873143554	0.048846794
58906at50557	cecidomyiidae	sciaridae	sciaridae	0.3384230134	0.0747805325	0.0027743921
60470at50557	sciaridae	cecidomyiidae	sciaridae	0.2385385385	0.5636585255	0.0942160669
65689at50557	sciaridae	sciaridae	sciaridae	0.0364551856	0.0652257123	0.0349010997
66691at50557	cecidomyiidae	sciaridae	sciaridae	0.1106354039	0.019061284	0.0079689069
66718at50557	cecidomyiidae	sciaridae	sciaridae	0.0670867461	9.961e-07	0.0045242559
66850at50557	sciaridae	cecidomyiidae	sciaridae	0.0559680217	0.443859439	0.0362504119
67170at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0080302183	0.0583685161	0.0104938648
67700at50557	sciaridae	cecidomyiidae	sciaridae	0.3118640784	0.6311790948	0.2056931136
71987at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.0659072536	0.049048071	0.0091999254
72000at50557	sciaridae	cecidomyiidae	sciaridae	0.0050659578	0.1700439849	0.026729178
72511at50557	cecidomyiidae	sciaridae	sciaridae	0.3874526401	0.2179440859	0.0460887344
73602at50557	sciaridae	sciaridae	sciaridae	0.0148858243	0.0301670361	0.0138599995
73951at50557	cecidomyiidae	sciaridae	sciaridae	0.560398076	0.1958266328	0.1180842076
74508at50557	cecidomyiidae	cecidomyiidae	sciaridae	0.077532662	0.0941505194	0.0197454087
